ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
1,Sarah Smith,25/04/2022,608
2,Jordan Simpson,28/06/2022,383
3,Andrea Jones,30/12/2022,177
4,Michael Simpson,29/03/2022,217
5,Daniel Johnson,27/06/2022,834
6,Jessica Rodriguez,09/07/2022,390
7,Daniel Johnson,02/07/2022,353
8,Michael Simpson,09/01/2022,259
9,Sarah Sampson,14/06/2022,997
10,Anthony Johnson,08/09/2022,973
11,Anthony Brown,06/08/2022,79
12,Susan Allen,13/11/2022,813
13,Jordan Simpson,14/03/2022,642
14,Jordan Brown,24/12/2022,6
15,Colleen Bishop,13/02/2022,119
16,Jordan Jones,24/07/2022,104
17,Susan Bishop,02/01/2022,295
18,Susan Smith,17/08/2022,12
19,Susan Simpson,18/02/2022,52
20,Susan Allen,06/04/2022,994
21,Sarah Rodriguez,15/09/2022,6
22,Jessica Allen,29/01/2022,338
23,Michael Johnson,23/05/2022,222
24,Susan Jones,21/11/2022,764
25,Daniel Johnson,07/07/2022,172
26,Susan Johnson,21/04/2022,130
27,Susan Rodriguez,06/02/2022,159
28,Anthony Sampson,24/03/2022,378
29,Jordan Rodriguez,11/01/2022,330
30,Anthony Williams,20/12/2022,299
31,Daniel Rodriguez,15/07/2022,645
32,Sarah Brown,08/08/2022,867
33,Andrea Rodriguez,18/06/2022,969
34,Jessica Brown,28/04/2022,639
35,Colleen Williams,25/08/2022,198
36,Jordan Sampson,09/05/2022,468
37,Susan Simpson,22/09/2022,969
38,Susan Bishop,24/10/2022,84
39,Anthony Allen,18/12/2022,755
40,Jessica Brown,11/01/2022,557
41,Colleen Simpson,21/12/2022,572
42,Daniel Bishop,12/09/2022,635
43,Daniel Jones,27/04/2022,199
44,Jordan Brown,14/02/2022,708
45,Susan Johnson,12/11/2022,707
46,Jessica Williams,22/05/2022,525
47,Colleen Bishop,26/06/2022,69
48,Gregory Rodriguez,13/03/2022,11
49,Anthony Johnson,16/10/2022,648
50,Susan Rodriguez,20/04/2022,414
51,Jessica Smith,06/01/2022,656
52,Daniel Brown,06/01/2022,261
53,Michael Smith,22/02/2022,35
54,Michael Johnson,09/02/2022,317
55,Sarah Simpson,21/03/2022,102
56,Andrea Allen,20/12/2022,893
57,Gregory Jones,16/04/2022,119
58,Anthony Brown,20/01/2022,45
59,Jessica Jones,24/03/2022,394
60,Susan Bishop,11/01/2022,250
61,Colleen Johnson,06/04/2022,805
62,Sarah Smith,10/11/2022,333
63,Andrea Jones,22/07/2022,318
64,Anthony Simpson,30/08/2022,944
65,Daniel Rodriguez,12/04/2022,517
66,Gregory Rodriguez,18/11/2022,515
67,Gregory Brown,04/09/2022,581
68,Susan Smith,22/05/2022,509
69,Sarah Simpson,25/07/2022,486
70,Jordan Bishop,30/04/2022,728
71,Anthony Allen,26/04/2022,869
72,Anthony Smith,07/09/2022,215
73,Gregory Smith,07/12/2022,3
74,Daniel Jones,31/12/2022,73
75,Sarah Bishop,17/01/2022,388
76,Daniel Bishop,23/09/2022,656
77,Andrea Johnson,22/06/2022,382
78,Anthony Johnson,09/10/2022,83
79,Daniel Sampson,21/05/2022,232
80,Daniel Allen,24/11/2022,124
81,Susan Allen,19/09/2022,540
82,Colleen Simpson,15/11/2022,466
83,Anthony Jones,03/01/2022,868
84,Michael Johnson,25/04/2022,936
85,Jordan Sampson,30/08/2022,292
86,Michael Allen,14/09/2022,543
87,Michael Simpson,04/09/2022,68
88,Susan Simpson,01/01/2022,803
89,Sarah Johnson,07/05/2022,936
90,Anthony Brown,03/12/2022,789
91,Michael Simpson,10/07/2022,953
92,Jordan Brown,05/07/2022,481
93,Michael Bishop,12/09/2022,562
94,Gregory Sampson,11/10/2022,806
95,Sarah Johnson,18/04/2022,128
96,Sarah Bishop,12/09/2022,910
97,Jessica Smith,08/05/2022,459
98,Michael Jones,06/12/2022,815
99,Anthony Williams,18/11/2022,851
100,Colleen Smith,26/07/2022,515
101,Colleen Johnson,13/10/2022,839
102,Andrea Simpson,25/09/2022,648
103,Colleen Johnson,05/01/2022,321
104,Gregory Bishop,26/06/2022,859
105,Jessica Allen,28/04/2022,787
106,Daniel Bishop,10/12/2022,955
107,Jordan Jones,30/08/2022,648
108,Jessica Brown,08/03/2022,958
109,Gregory Simpson,30/11/2022,617
110,Andrea Sampson,02/03/2022,786
111,Jessica Smith,04/10/2022,217
112,Susan Allen,28/01/2022,445
113,Colleen Smith,11/11/2022,656
